"Notes"	"Vaccine"	"Vaccine Code"	"Year Died"	"Year Died Code"	"Year Reported"	"Year Reported Code"	Events Reported	Percent
"Total"	"RABIES (IMOVAX ID)"	"78"	"1990"	"1990"			1	0.00%
	"RABIES (IMOVAX ID)"	"78"	"No Death"	"9998"	"1990"	"1990"	4	0.00%
	"RABIES (IMOVAX ID)"	"78"	"No Death"	"9998"	"1991"	"1991"	17	0.00%
	"RABIES (IMOVAX ID)"	"78"	"No Death"	"9998"	"1992"	"1992"	37	0.01%
	"RABIES (IMOVAX ID)"	"78"	"No Death"	"9998"	"1993"	"1993"	23	0.00%
	"RABIES (IMOVAX ID)"	"78"	"No Death"	"9998"	"1994"	"1994"	5	0.00%
	"RABIES (IMOVAX ID)"	"78"	"No Death"	"9998"	"1995"	"1995"	49	0.01%
	"RABIES (IMOVAX ID)"	"78"	"No Death"	"9998"	"1996"	"1996"	34	0.01%
	"RABIES (IMOVAX ID)"	"78"	"No Death"	"9998"	"1997"	"1997"	34	0.01%
	"RABIES (IMOVAX ID)"	"78"	"No Death"	"9998"	"1998"	"1998"	38	0.01%
	"RABIES (IMOVAX ID)"	"78"	"No Death"	"9998"	"1999"	"1999"	17	0.00%
	"RABIES (IMOVAX ID)"	"78"	"No Death"	"9998"	"2000"	"2000"	2	0.00%
	"RABIES (IMOVAX ID)"	"78"	"No Death"	"9998"	"2001"	"2001"	4	0.00%
	"RABIES (IMOVAX ID)"	"78"	"No Death"	"9998"	"2004"	"2004"	2	0.00%
	"RABIES (IMOVAX ID)"	"78"	"No Death"	"9998"	"Unknown Date"	"9999"	34	0.01%
"Total"	"RABIES (IMOVAX ID)"	"78"	"No Death"	"9998"			300	0.06%
"Total"	"RABIES (IMOVAX ID)"	"78"					301	0.06%
	"RABIES (IMOVAX)"	"33"	"1994"	"1994"	"1994"	"1994"	1	0.00%
"Total"	"RABIES (IMOVAX)"	"33"	"1994"	"1994"			1	0.00%
	"RABIES (IMOVAX)"	"33"	"2002"	"2002"	"2002"	"2002"	1	0.00%
"Total"	"RABIES (IMOVAX)"	"33"	"2002"	"2002"			1	0.00%
	"RABIES (IMOVAX)"	"33"	"2006"	"2006"	"2006"	"2006"	1	0.00%
"Total"	"RABIES (IMOVAX)"	"33"	"2006"	"2006"			1	0.00%
	"RABIES (IMOVAX)"	"33"	"2009"	"2009"	"2009"	"2009"	1	0.00%
"Total"	"RABIES (IMOVAX)"	"33"	"2009"	"2009"			1	0.00%
	"RABIES (IMOVAX)"	"33"	"Unknown Date"	"9999"	"2012"	"2012"	1	0.00%
"Total"	"RABIES (IMOVAX)"	"33"	"Unknown Date"	"9999"			1	0.00%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"1990"	"1990"	5	0.00%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"1991"	"1991"	45	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"1992"	"1992"	100	0.02%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"1993"	"1993"	62	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"1994"	"1994"	158	0.03%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"1995"	"1995"	103	0.02%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"1996"	"1996"	29	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"1997"	"1997"	141	0.03%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"1998"	"1998"	67	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"1999"	"1999"	63	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2000"	"2000"	66	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2001"	"2001"	94	0.02%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2002"	"2002"	69	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2003"	"2003"	83	0.02%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2004"	"2004"	90	0.02%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2005"	"2005"	9	0.00%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2006"	"2006"	19	0.00%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2007"	"2007"	59	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2008"	"2008"	67	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2009"	"2009"	33	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2010"	"2010"	30	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2011"	"2011"	40	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2012"	"2012"	45	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2013"	"2013"	25	0.00%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2014"	"2014"	42	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2015"	"2015"	30	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2016"	"2016"	32	0.01%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"2017"	"2017"	5	0.00%
	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"	"Unknown Date"	"9999"	48	0.01%
"Total"	"RABIES (IMOVAX)"	"33"	"No Death"	"9998"			1659	0.31%
"Total"	"RABIES (IMOVAX)"	"33"					1664	0.31%
	"RABIES (NO BRAND NAME)"	"57"	"2008"	"2008"	"2009"	"2009"	1	0.00%
"Total"	"RABIES (NO BRAND NAME)"	"57"	"2008"	"2008"			1	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"1991"	"1991"	2	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"1992"	"1992"	6	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"1993"	"1993"	4	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"1994"	"1994"	7	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"1995"	"1995"	6	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"1996"	"1996"	54	0.01%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"1997"	"1997"	16	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"1998"	"1998"	13	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"1999"	"1999"	5	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2000"	"2000"	6	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2001"	"2001"	8	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2002"	"2002"	8	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2003"	"2003"	6	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2004"	"2004"	11	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2005"	"2005"	8	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2006"	"2006"	3	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2007"	"2007"	11	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2008"	"2008"	13	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2009"	"2009"	10	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2010"	"2010"	12	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2011"	"2011"	11	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2012"	"2012"	10	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2013"	"2013"	9	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2014"	"2014"	18	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2015"	"2015"	14	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2016"	"2016"	19	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"2017"	"2017"	1	0.00%
	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"	"Unknown Date"	"9999"	22	0.00%
"Total"	"RABIES (NO BRAND NAME)"	"57"	"No Death"	"9998"			313	0.06%
"Total"	"RABIES (NO BRAND NAME)"	"57"					314	0.06%
	"RABIES (RABAVERT)"	"294"	"2000"	"2000"	"2000"	"2000"	1	0.00%
"Total"	"RABIES (RABAVERT)"	"294"	"2000"	"2000"			1	0.00%
	"RABIES (RABAVERT)"	"294"	"2003"	"2003"	"2003"	"2003"	1	0.00%
"Total"	"RABIES (RABAVERT)"	"294"	"2003"	"2003"			1	0.00%
	"RABIES (RABAVERT)"	"294"	"2011"	"2011"	"2011"	"2011"	1	0.00%
"Total"	"RABIES (RABAVERT)"	"294"	"2011"	"2011"			1	0.00%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"1998"	"1998"	3	0.00%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"1999"	"1999"	17	0.00%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2000"	"2000"	40	0.01%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2001"	"2001"	54	0.01%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2002"	"2002"	36	0.01%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2003"	"2003"	41	0.01%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2004"	"2004"	151	0.03%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2005"	"2005"	89	0.02%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2006"	"2006"	70	0.01%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2007"	"2007"	61	0.01%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2008"	"2008"	40	0.01%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2009"	"2009"	55	0.01%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2010"	"2010"	36	0.01%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2011"	"2011"	48	0.01%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2012"	"2012"	49	0.01%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2013"	"2013"	56	0.01%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2014"	"2014"	36	0.01%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2015"	"2015"	56	0.01%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2016"	"2016"	93	0.02%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"2017"	"2017"	10	0.00%
	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"	"Unknown Date"	"9999"	29	0.01%
"Total"	"RABIES (RABAVERT)"	"294"	"No Death"	"9998"			1070	0.20%
"Total"	"RABIES (RABAVERT)"	"294"					1073	0.20%
	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"	"2001"	"2001"	1	0.00%
	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"	"2002"	"2002"	1	0.00%
	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"	"2003"	"2003"	6	0.00%
	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"	"2004"	"2004"	3	0.00%
	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"	"2005"	"2005"	1	0.00%
	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"	"2006"	"2006"	1	0.00%
	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"	"2007"	"2007"	2	0.00%
	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"	"2008"	"2008"	2	0.00%
	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"	"2009"	"2009"	2	0.00%
	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"	"2010"	"2010"	6	0.00%
	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"	"2011"	"2011"	4	0.00%
	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"	"2012"	"2012"	7	0.00%
	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"	"2013"	"2013"	2	0.00%
	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"	"2014"	"2014"	8	0.00%
	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"	"2016"	"2016"	1	0.00%
"Total"	"RABIES (RABIE-VAX)"	"1043"	"No Death"	"9998"			47	0.01%
"Total"	"RABIES (RABIE-VAX)"	"1043"					47	0.01%
	"RABIES (RABIPUR)"	"1075"	"2004"	"2004"	"2004"	"2004"	1	0.00%
"Total"	"RABIES (RABIPUR)"	"1075"	"2004"	"2004"			1	0.00%
	"RABIES (RABIPUR)"	"1075"	"Unknown Date"	"9999"	"2003"	"2003"	1	0.00%
"Total"	"RABIES (RABIPUR)"	"1075"	"Unknown Date"	"9999"			1	0.00%
	"RABIES (RABIPUR)"	"1075"	"No Death"	"9998"	"2003"	"2003"	4	0.00%
	"RABIES (RABIPUR)"	"1075"	"No Death"	"9998"	"2004"	"2004"	3	0.00%
	"RABIES (RABIPUR)"	"1075"	"No Death"	"9998"	"2005"	"2005"	2	0.00%
	"RABIES (RABIPUR)"	"1075"	"No Death"	"9998"	"2006"	"2006"	1	0.00%
	"RABIES (RABIPUR)"	"1075"	"No Death"	"9998"	"2007"	"2007"	2	0.00%
	"RABIES (RABIPUR)"	"1075"	"No Death"	"9998"	"2009"	"2009"	1	0.00%
	"RABIES (RABIPUR)"	"1075"	"No Death"	"9998"	"2010"	"2010"	14	0.00%
	"RABIES (RABIPUR)"	"1075"	"No Death"	"9998"	"2011"	"2011"	11	0.00%
	"RABIES (RABIPUR)"	"1075"	"No Death"	"9998"	"2012"	"2012"	1	0.00%
	"RABIES (RABIPUR)"	"1075"	"No Death"	"9998"	"2013"	"2013"	1	0.00%
	"RABIES (RABIPUR)"	"1075"	"No Death"	"9998"	"2015"	"2015"	3	0.00%
	"RABIES (RABIPUR)"	"1075"	"No Death"	"9998"	"Unknown Date"	"9999"	2	0.00%
"Total"	"RABIES (RABIPUR)"	"1075"	"No Death"	"9998"			45	0.01%
"Total"	"RABIES (RABIPUR)"	"1075"					47	0.01%
	"RABIES (RABIVAC)"	"1074"	"No Death"	"9998"	"2000"	"2000"	1	0.00%
	"RABIES (RABIVAC)"	"1074"	"No Death"	"9998"	"2002"	"2002"	1	0.00%
	"RABIES (RABIVAC)"	"1074"	"No Death"	"9998"	"2003"	"2003"	3	0.00%
	"RABIES (RABIVAC)"	"1074"	"No Death"	"9998"	"2005"	"2005"	3	0.00%
	"RABIES (RABIVAC)"	"1074"	"No Death"	"9998"	"2006"	"2006"	1	0.00%
	"RABIES (RABIVAC)"	"1074"	"No Death"	"9998"	"2007"	"2007"	1	0.00%
	"RABIES (RABIVAC)"	"1074"	"No Death"	"9998"	"2010"	"2010"	3	0.00%
	"RABIES (RABIVAC)"	"1074"	"No Death"	"9998"	"2011"	"2011"	4	0.00%
	"RABIES (RABIVAC)"	"1074"	"No Death"	"9998"	"2012"	"2012"	2	0.00%
	"RABIES (RABIVAC)"	"1074"	"No Death"	"9998"	"2013"	"2013"	1	0.00%
	"RABIES (RABIVAC)"	"1074"	"No Death"	"9998"	"2014"	"2014"	1	0.00%
	"RABIES (RABIVAC)"	"1074"	"No Death"	"9998"	"2015"	"2015"	2	0.00%
	"RABIES (RABIVAC)"	"1074"	"No Death"	"9998"	"2016"	"2016"	1	0.00%
	"RABIES (RABIVAC)"	"1074"	"No Death"	"9998"	"Unknown Date"	"9999"	1	0.00%
"Total"	"RABIES (RABIVAC)"	"1074"	"No Death"	"9998"			25	0.00%
"Total"	"RABIES (RABIVAC)"	"1074"					25	0.00%
	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"2016"	"2016"	"2017"	"2017"	1	0.00%
"Total"	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"2016"	"2016"			1	0.00%
	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"No Death"	"9998"	"2006"	"2006"	3	0.00%
	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"No Death"	"9998"	"2007"	"2007"	29	0.01%
	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"No Death"	"9998"	"2008"	"2008"	39	0.01%
	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"No Death"	"9998"	"2009"	"2009"	31	0.01%
	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"No Death"	"9998"	"2010"	"2010"	59	0.01%
	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"No Death"	"9998"	"2011"	"2011"	83	0.02%
	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"No Death"	"9998"	"2012"	"2012"	69	0.01%
	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"No Death"	"9998"	"2013"	"2013"	85	0.02%
	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"No Death"	"9998"	"2014"	"2014"	88	0.02%
	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"No Death"	"9998"	"2015"	"2015"	80	0.01%
	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"No Death"	"9998"	"2016"	"2016"	103	0.02%
	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"No Death"	"9998"	"2017"	"2017"	23	0.00%
	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"No Death"	"9998"	"Unknown Date"	"9999"	7	0.00%
"Total"	"ROTAVIRUS (NO BRAND NAME)"	"1099"	"No Death"	"9998"			699	0.13%
"Total"	"ROTAVIRUS (NO BRAND NAME)"	"1099"					700	0.13%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"1999"	"1999"	"1999"	"1999"	7	0.00%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"1999"	"1999"	"2001"	"2001"	1	0.00%
"Total"	"ROTAVIRUS (ROTASHIELD)"	"300"	"1999"	"1999"			8	0.00%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"2003"	"2003"	"2003"	"2003"	1	0.00%
"Total"	"ROTAVIRUS (ROTASHIELD)"	"300"	"2003"	"2003"			1	0.00%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"Unknown Date"	"9999"	"1999"	"1999"	1	0.00%
"Total"	"ROTAVIRUS (ROTASHIELD)"	"300"	"Unknown Date"	"9999"			1	0.00%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"No Death"	"9998"	"1998"	"1998"	41	0.01%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"No Death"	"9998"	"1999"	"1999"	522	0.10%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"No Death"	"9998"	"2000"	"2000"	42	0.01%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"No Death"	"9998"	"2001"	"2001"	25	0.00%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"No Death"	"9998"	"2002"	"2002"	11	0.00%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"No Death"	"9998"	"2004"	"2004"	4	0.00%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"No Death"	"9998"	"2005"	"2005"	1	0.00%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"No Death"	"9998"	"2006"	"2006"	2	0.00%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"No Death"	"9998"	"2007"	"2007"	3	0.00%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"No Death"	"9998"	"2008"	"2008"	3	0.00%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"No Death"	"9998"	"2010"	"2010"	1	0.00%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"No Death"	"9998"	"2011"	"2011"	1	0.00%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"No Death"	"9998"	"2013"	"2013"	1	0.00%
	"ROTAVIRUS (ROTASHIELD)"	"300"	"No Death"	"9998"	"Unknown Date"	"9999"	29	0.01%
"Total"	"ROTAVIRUS (ROTASHIELD)"	"300"	"No Death"	"9998"			686	0.13%
"Total"	"ROTAVIRUS (ROTASHIELD)"	"300"					696	0.13%
	"ROTAVIRUS (ROTARIX)"	"1124"	"2008"	"2008"	"2009"	"2009"	1	0.00%
"Total"	"ROTAVIRUS (ROTARIX)"	"1124"	"2008"	"2008"			1	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"2009"	"2009"	"2009"	"2009"	4	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"2009"	"2009"	"Unknown Date"	"9999"	1	0.00%
"Total"	"ROTAVIRUS (ROTARIX)"	"1124"	"2009"	"2009"			5	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"2010"	"2010"	"2010"	"2010"	7	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"2010"	"2010"	"2011"	"2011"	1	0.00%
"Total"	"ROTAVIRUS (ROTARIX)"	"1124"	"2010"	"2010"			8	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"2011"	"2011"	"2011"	"2011"	3	0.00%
"Total"	"ROTAVIRUS (ROTARIX)"	"1124"	"2011"	"2011"			3	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"2012"	"2012"	"2012"	"2012"	11	0.00%
"Total"	"ROTAVIRUS (ROTARIX)"	"1124"	"2012"	"2012"			11	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"2013"	"2013"	"2013"	"2013"	5	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"2013"	"2013"	"2016"	"2016"	1	0.00%
"Total"	"ROTAVIRUS (ROTARIX)"	"1124"	"2013"	"2013"			6	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"2014"	"2014"	"2014"	"2014"	8	0.00%
"Total"	"ROTAVIRUS (ROTARIX)"	"1124"	"2014"	"2014"			8	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"2015"	"2015"	"2015"	"2015"	4	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"2015"	"2015"	"2016"	"2016"	1	0.00%
"Total"	"ROTAVIRUS (ROTARIX)"	"1124"	"2015"	"2015"			5	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"2016"	"2016"	"2016"	"2016"	7	0.00%
"Total"	"ROTAVIRUS (ROTARIX)"	"1124"	"2016"	"2016"			7	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"2017"	"2017"	"2017"	"2017"	3	0.00%
"Total"	"ROTAVIRUS (ROTARIX)"	"1124"	"2017"	"2017"			3	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"Unknown Date"	"9999"	"2016"	"2016"	1	0.00%
"Total"	"ROTAVIRUS (ROTARIX)"	"1124"	"Unknown Date"	"9999"			1	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"No Death"	"9998"	"2008"	"2008"	15	0.00%
	"ROTAVIRUS (ROTARIX)"	"1124"	"No Death"	"9998"	"2009"	"2009"	156	0.03%
	"ROTAVIRUS (ROTARIX)"	"1124"	"No Death"	"9998"	"2010"	"2010"	143	0.03%
	"ROTAVIRUS (ROTARIX)"	"1124"	"No Death"	"9998"	"2011"	"2011"	172	0.03%
	"ROTAVIRUS (ROTARIX)"	"1124"	"No Death"	"9998"	"2012"	"2012"	196	0.04%
	"ROTAVIRUS (ROTARIX)"	"1124"	"No Death"	"9998"	"2013"	"2013"	177	0.03%
	"ROTAVIRUS (ROTARIX)"	"1124"	"No Death"	"9998"	"2014"	"2014"	198	0.04%
	"ROTAVIRUS (ROTARIX)"	"1124"	"No Death"	"9998"	"2015"	"2015"	177	0.03%
	"ROTAVIRUS (ROTARIX)"	"1124"	"No Death"	"9998"	"2016"	"2016"	191	0.04%
	"ROTAVIRUS (ROTARIX)"	"1124"	"No Death"	"9998"	"2017"	"2017"	62	0.01%
	"ROTAVIRUS (ROTARIX)"	"1124"	"No Death"	"9998"	"Unknown Date"	"9999"	33	0.01%
"Total"	"ROTAVIRUS (ROTARIX)"	"1124"	"No Death"	"9998"			1520	0.28%
"Total"	"ROTAVIRUS (ROTARIX)"	"1124"					1578	0.29%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2006"	"2006"	"2006"	"2006"	12	0.00%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2006"	"2006"	"2007"	"2007"	1	0.00%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2006"	"2006"	"2008"	"2008"	1	0.00%
"Total"	"ROTAVIRUS (ROTATEQ)"	"1096"	"2006"	"2006"			14	0.00%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2007"	"2007"	"2007"	"2007"	44	0.01%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2007"	"2007"	"2008"	"2008"	3	0.00%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2007"	"2007"	"2012"	"2012"	1	0.00%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2007"	"2007"	"Unknown Date"	"9999"	1	0.00%
"Total"	"ROTAVIRUS (ROTATEQ)"	"1096"	"2007"	"2007"			49	0.01%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2008"	"2008"	"2008"	"2008"	44	0.01%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2008"	"2008"	"2009"	"2009"	5	0.00%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2008"	"2008"	"2010"	"2010"	1	0.00%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2008"	"2008"	"Unknown Date"	"9999"	4	0.00%
"Total"	"ROTAVIRUS (ROTATEQ)"	"1096"	"2008"	"2008"			54	0.01%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2009"	"2009"	"2009"	"2009"	23	0.00%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2009"	"2009"	"2010"	"2010"	4	0.00%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2009"	"2009"	"2014"	"2014"	1	0.00%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2009"	"2009"	"Unknown Date"	"9999"	1	0.00%
"Total"	"ROTAVIRUS (ROTATEQ)"	"1096"	"2009"	"2009"			29	0.01%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2010"	"2010"	"2010"	"2010"	17	0.00%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2010"	"2010"	"2011"	"2011"	2	0.00%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2010"	"2010"	"2012"	"2012"	1	0.00%
"Total"	"ROTAVIRUS (ROTATEQ)"	"1096"	"2010"	"2010"			20	0.00%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2011"	"2011"	"2011"	"2011"	29	0.01%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2011"	"2011"	"2012"	"2012"	2	0.00%
"Total"	"ROTAVIRUS (ROTATEQ)"	"1096"	"2011"	"2011"			31	0.01%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2012"	"2012"	"2012"	"2012"	25	0.00%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2012"	"2012"	"2013"	"2013"	1	0.00%
	"ROTAVIRUS (ROTATEQ)"	"1096"	"2012"	"2012"	"Unknown Date"	"9999"	3	0.00%
